1,19,3,1
2,14,3,0
3,8,2,1
4,22,3,0
5,25,3,0
6,41,3,1
7,36,3,0
8,38,4,1
9,66,3,1
10,59,3,1
11,70,2,1
12,49,2,0
13,92,2,1
14,87,2,1
15,79,3,1
16,91,4,0
17,116,4,0
18,100,3,0
19,107,2,1
20,105,4,1
21,12,4,1
22,16,4,0
23,21,4,0
24,6,2,0
25,43,4,1
26,47,3,0
27,37,2,0
28,39,2,1
29,64,4,0
30,56,2,1
31,65,2,0
32,54,3,0
33,78,4,1
34,90,3,0
35,96,4,0
36,80,2,0
37,104,4,1
38,106,3,0
39,101,4,0
40,99,2,0
41,2,4,0
42,23,4,1
43,18,2,0
44,3,3,1
45,40,2,1
46,35,3,0
47,44,3,1
48,29,3,1
49,62,2,0
50,68,2,1
51,71,2,0
52,53,4,1
53,93,3,0
54,75,4,0
55,86,2,1
56,84,4,0
57,117,4,1
58,103,3,0
59,98,3,0
60,119,2,0
61,11,4,1
62,10,2,0
63,1,2,0
64,4,4,1
65,30,4,0
66,28,4,0
67,32,3,1
68,48,3,1
69,69,3,0
70,60,4,0
71,50,2,0
72,61,4,0
73,76,4,0
74,77,4,1
75,95,3,1
76,88,3,1
77,118,4,0
78,112,3,1
79,97,2,0
80,114,4,0
81,9,3,0
82,24,3,0
83,7,4,0
84,13,2,0
85,46,3,0
86,45,3,0
87,27,3,0
88,31,2,0
89,72,2,1
90,63,3,1
91,55,2,1
92,67,4,0
93,83,3,0
94,74,4,0
95,81,4,1
96,85,3,1
97,109,2,1
98,111,4,0
99,115,2,0
100,113,4,1
101,15,2,1
102,17,3,0
103,20,2,0
104,5,3,0
105,26,2,0
106,42,2,1
107,33,4,0
108,34,3,1
109,52,3,0
110,58,3,1
111,57,3,0
112,51,2,0
113,82,4,0
114,89,4,1
115,94,4,1
116,73,4,0
117,110,3,1
118,102,3,0
119,108,3,1
120,120,3,1
