1,13,4,0
2,18,3,0
3,8,4,1
4,24,3,1
5,41,4,0
6,31,3,1
7,27,4,1
8,32,4,0
9,70,3,1
10,64,2,0
11,55,4,1
12,67,4,0
13,76,2,0
14,74,4,0
15,84,3,0
16,85,4,1
17,120,4,0
18,106,2,1
19,111,4,0
20,116,4,0
21,23,3,0
22,11,4,1
23,12,3,0
24,4,2,0
25,38,2,0
26,46,3,1
27,42,4,0
28,43,4,1
29,56,4,0
30,62,2,1
31,60,3,0
32,65,2,1
33,88,2,0
34,78,2,0
35,91,4,0
36,86,3,1
37,103,2,1
38,117,3,1
39,108,2,0
40,119,2,1
41,5,4,1
42,20,3,1
43,19,4,1
44,3,4,1
45,40,3,0
46,29,4,1
47,33,4,0
48,28,4,0
49,49,2,1
50,68,4,0
51,69,3,0
52,50,4,1
53,89,3,1
54,90,3,0
55,75,4,1
56,95,2,0
57,99,3,1
58,98,4,1
59,97,3,0
60,101,4,1
61,16,4,1
62,17,3,1
63,7,2,1
64,22,3,0
65,37,2,0
66,26,3,0
67,36,3,1
68,48,4,1
69,53,4,0
70,52,4,1
71,57,4,1
72,72,3,1
73,82,4,1
74,93,3,1
75,83,2,1
76,73,2,1
77,105,4,0
78,102,3,0
79,100,4,0
80,110,2,0
81,15,3,0
82,2,3,0
83,10,2,0
84,21,3,1
85,45,3,1
86,47,2,1
87,44,3,1
88,30,2,1
89,58,2,0
90,59,2,0
91,63,2,1
92,71,2,0
93,79,2,1
94,81,3,1
95,87,2,1
96,94,3,0
97,115,4,0
98,107,3,1
99,113,3,1
100,112,3,1
101,1,2,0
102,6,3,0
103,9,4,1
104,14,4,0
105,25,2,0
106,34,2,1
107,35,3,0
108,39,3,0
109,61,3,1
110,54,2,0
111,51,4,1
112,66,2,0
113,80,2,1
114,77,2,1
115,92,2,0
116,96,3,0
117,104,3,0
118,109,2,0
119,118,4,0
120,114,4,0
