1,23,2
2,14,4
3,8,2
4,2,2
5,46,2
6,31,2
7,41,2
8,32,4
9,71,2
10,53,2
11,68,6
12,49,8
13,82,8
14,91,2
15,80,4
16,92,4
17,111,6
18,113,4
19,104,2
20,117,4
21,5,2
22,9,2
23,10,8
24,11,4
25,43,8
26,40,8
27,35,2
28,37,6
29,59,6
30,69,6
31,63,6
32,54,2
33,78,8
34,76,2
35,87,4
36,73,8
37,101,8
38,110,4
39,106,4
40,98,6
41,13,8
42,21,8
43,1,6
44,3,4
45,48,8
46,26,4
47,25,8
48,45,2
49,56,6
50,58,6
51,70,2
52,72,4
53,85,2
54,79,4
55,90,4
56,74,6
57,116,2
58,114,6
59,100,4
60,118,2
61,6,2
62,12,2
63,17,8
64,7,8
65,39,8
66,34,6
67,38,2
68,27,4
69,57,2
70,51,2
71,52,4
72,61,6
73,77,6
74,84,6
75,83,4
76,86,4
77,109,6
78,103,8
79,115,8
80,120,6
81,20,6
82,22,6
83,18,2
84,4,6
85,44,4
86,30,2
87,28,2
88,47,2
89,65,6
90,60,4
91,55,6
92,64,4
93,96,2
94,93,6
95,95,4
96,89,8
97,97,8
98,108,4
99,112,2
100,105,6
101,15,8
102,24,8
103,19,2
104,16,4
105,29,6
106,42,6
107,33,6
108,36,6
109,67,6
110,50,4
111,62,6
112,66,2
113,88,2
114,94,8
115,81,4
116,75,6
117,119,8
118,107,2
119,102,2
120,99,4
