1, 23, 4;
2, 100, 2;
3, 17, 8;
4, 36, 2;
5, 9, 8;
6, 93, 8;
7, 92, 8;
8, 18, 2;
9, 55, 4;
10, 120, 4;
11, 70, 8;
12, 29, 4;
13, 97, 8;
14, 61, 2;
15, 52, 4;
16, 78, 2;
17, 102, 2;
18, 116, 8;
19, 75, 6;
20, 79, 6;
21, 59, 2;
22, 48, 8;
23, 32, 6;
24, 47, 4;
25, 87, 6;
26, 19, 4;
27, 114, 2;
28, 27, 2;
29, 108, 2;
30, 13, 2;
31, 37, 2;
32, 49, 4;
33, 104, 2;
34, 44, 8;
35, 101, 8;
36, 60, 4;
37, 53, 4;
38, 68, 4;
39, 81, 8;
40, 16, 4;
41, 35, 2;
42, 15, 8;
43, 8, 4;
44, 10, 2;
45, 6, 4;
46, 65, 2;
47, 99, 2;
48, 3, 8;
49, 7, 8;
50, 94, 6;
51, 112, 2;
52, 91, 2;
53, 1, 4;
54, 50, 8;
55, 46, 2;
56, 105, 2;
57, 2, 2;
58, 4, 6;
59, 66, 6;
60, 54, 6;
61, 74, 4;
62, 25, 6;
63, 43, 4;
64, 118, 6;
65, 107, 2;
66, 28, 6;
67, 88, 2;
68, 89, 4;
69, 83, 6;
70, 11, 8;
71, 76, 2;
72, 109, 8;
73, 71, 8;
74, 72, 4;
75, 95, 4;
76, 110, 4;
77, 38, 4;
78, 20, 6;
79, 86, 6;
80, 45, 8;
81, 51, 8;
82, 103, 6;
83, 34, 4;
84, 111, 8;
85, 62, 6;
86, 30, 4;
87, 21, 8;
88, 5, 8;
89, 24, 6;
90, 96, 6;
91, 22, 6;
92, 56, 2;
93, 31, 4;
94, 84, 4;
95, 73, 2;
96, 33, 8;
97, 117, 2;
98, 58, 2;
99, 85, 2;
100, 41, 2;
101, 90, 4;
102, 63, 4;
103, 57, 8;
104, 64, 4;
105, 98, 2;
106, 115, 8;
107, 67, 8;
108, 82, 4;
109, 14, 2;
110, 42, 4;
111, 80, 4;
112, 40, 6;
113, 69, 4;
114, 77, 6;
115, 26, 6;
116, 106, 2;
117, 39, 2;
118, 12, 4;
119, 119, 4;
120, 113, 4;
