1, 20, 8, 1;
2, 17, 4, 1;
3, 1, 2, 0;
4, 7, 2, 0;
5, 29, 8, 0;
6, 33, 2, 0;
7, 47, 4, 1;
8, 40, 6, 0;
9, 55, 2, 1;
10, 72, 6, 0;
11, 67, 4, 1;
12, 51, 2, 1;
13, 73, 8, 1;
14, 90, 2, 1;
15, 82, 4, 0;
16, 74, 2, 0;
17, 119, 6, 0;
18, 115, 2, 1;
19, 97, 4, 1;
20, 106, 2, 0;
21, 12, 2, 0;
22, 5, 8, 0;
23, 11, 4, 0;
24, 9, 6, 1;
25, 45, 8, 0;
26, 39, 4, 0;
27, 44, 6, 0;
28, 30, 8, 1;
29, 63, 4, 1;
30, 68, 6, 0;
31, 61, 2, 1;
32, 59, 8, 0;
33, 92, 2, 1;
34, 86, 4, 1;
35, 78, 8, 1;
36, 88, 4, 0;
37, 112, 8, 1;
38, 114, 4, 0;
39, 118, 4, 0;
40, 103, 2, 0;
41, 13, 6, 1;
42, 10, 4, 0;
43, 22, 4, 0;
44, 8, 6, 0;
45, 36, 2, 0;
46, 25, 4, 0;
47, 48, 8, 1;
48, 27, 6, 0;
49, 66, 2, 0;
50, 70, 2, 0;
51, 54, 2, 0;
52, 57, 2, 0;
53, 93, 4, 1;
54, 85, 6, 0;
55, 79, 6, 0;
56, 77, 6, 0;
57, 98, 2, 0;
58, 116, 6, 0;
59, 100, 2, 1;
60, 99, 2, 1;
61, 14, 2, 1;
62, 6, 2, 0;
63, 3, 2, 0;
64, 21, 2, 1;
65, 43, 4, 1;
66, 42, 4, 1;
67, 41, 2, 0;
68, 38, 4, 1;
69, 56, 8, 0;
70, 60, 6, 0;
71, 52, 6, 1;
72, 49, 2, 0;
73, 81, 2, 0;
74, 75, 2, 1;
75, 76, 8, 1;
76, 83, 6, 1;
77, 102, 6, 1;
78, 110, 4, 1;
79, 101, 2, 1;
80, 104, 6, 0;
81, 19, 8, 1;
82, 18, 2, 1;
83, 15, 4, 0;
84, 2, 4, 0;
85, 34, 2, 1;
86, 31, 6, 0;
87, 35, 4, 1;
88, 28, 8, 1;
89, 69, 4, 0;
90, 65, 6, 0;
91, 64, 2, 1;
92, 53, 4, 0;
93, 94, 2, 1;
94, 89, 8, 1;
95, 87, 8, 1;
96, 84, 4, 0;
97, 111, 6, 0;
98, 117, 4, 0;
99, 107, 6, 1;
100, 113, 8, 1;
101, 4, 6, 1;
102, 16, 4, 0;
103, 24, 4, 1;
104, 23, 4, 0;
105, 37, 4, 0;
106, 46, 4, 1;
107, 26, 6, 0;
108, 32, 6, 1;
109, 71, 4, 1;
110, 58, 4, 1;
111, 62, 2, 1;
112, 50, 2, 0;
113, 95, 4, 1;
114, 80, 4, 1;
115, 96, 6, 1;
116, 91, 8, 0;
117, 109, 8, 0;
118, 108, 4, 0;
119, 120, 2, 1;
120, 105, 8, 1;
